video,start_s,stop_s,label,ek100_verbs,ek100_nouns,ek100_action
Normal,18.0,24.0,fill kettle with water,"take,put,close","maker:coffee,bottle,phone",take:maker:coffee
Normal,33.0,42.0,drops a sugar cube into mug,"take,close,put","bottle,maker:coffee,cupboard",open:cupboard
Normal,49.0,55.0,takes out teabag from container,"take,put,close","bottle,phone,maker:coffee",take:bottle
Normal,49.0,51.0,open container,,,
Normal,56.0,60.0,places teabag into mug,"take,close,open","maker:coffee,bag,cupboard",open:cupboard
Normal,68.0,80.0,pours hot water into mug,"put,take,close","maker:coffee,lid,bottle",take:maker:coffee
Normal,80.0,87.0,pours milk into mug,"take,put,close","bottle,phone,salt",put:phone
Spueli,17.0,24.0,fill kettle with water,"take,put,close","phone,bottle,maker:coffee",put:phone
Spueli,30.0,32.0,place mug on kitchen top,"take,put,close","maker:coffee,kettle,phone",take:maker:coffee
Spueli,35.0,42.0,pour soap into mug,"take,put,close","bottle,oil,lid",take:bottle
Spueli,47.0,49.0,open container,"take,close,put","bottle,phone,maker:coffee",put:phone
Spueli,50.0,53.0,place teabag into mug,"take,close,put","bag,maker:coffee,bottle",take:bag
Spueli,52.0,54.0,close lid,,,
Spueli,62.0,68.0,pour water into mug,"put,close,take","water,maker:coffee,kettle",pour:water
Spueli,84.0,86.0,drop sugar cube into mug,"take,close,put","bottle,maker:coffee,phone",take:maker:coffee
glass_and_fork,34.0,36.0,close lid,"take,turn-off,open","cup,bottle,maker:coffee",take:maker:coffee
glass_and_fork,60.0,64.0,place tea bag in glass,"take,close,put","maker:coffee,bottle,bag",take:maker:coffee
glass_and_fork,74.0,80.0,pour water into glass,"put,take,close","kettle,maker:coffee,bottle",put:kettle
glass_and_fork,84.0,88.0,stir tea,"take,close,put","maker:coffee,bottle,bag",take:maker:coffee
2tb_2stir,26.0,28.0,take mug,,,
2tb_2stir,50.0,60.0,nothing/confused,"take,turn-off,open","maker:coffee,phone,bottle",take:maker:coffee
2tb_2stir,34.0,37.0,place tea bag into mug,"take,close,open","bottle,maker:coffee,cup",open:cupboard
2tb_2stir,38.0,42.0,place tea bag into mug,"take,close,open","bag,maker:coffee,cupboard",open:cupboard
2tb_2stir,111.0,117.0,stir tea
2tb_2stir,126.0,130.0,stir tea
